created_at,Text,full_text
Fri Feb 28 03:00:19 +0000 2025,,@Jateng_Twit Anaknya dikasih makan siang gratis ortunya diPHK. Mending biaya utk makan siang gratis dipakai utk menciptakan lapangan kerja agar ortu bisa memberikan anak²nya makanan bergizi
Fri Feb 28 02:26:50 +0000 2025,,*KEGIATAN POLRI MENDUKUNG PROGRAM PEMERINTAH MAKAN SIANG BERGIZI GRATIS DI LAKSANKAN OLEH POLRES SEKADAU* https://t.co/pm1d4XkjXL
Thu Feb 27 13:07:16 +0000 2025,,@yoni_putri Semua bisnis jadi sepi efek efisiensi buat makan siang gratis yang ga bergizi
Thu Feb 27 11:13:00 +0000 2025,,Makan siang Bergizi Gratis. Mimin seneng banget lihat adeknya lahap makan https://t.co/bBSk3J7voy
Thu Feb 27 09:34:53 +0000 2025,,Makan siang Bergizi Gratis. Mimin seneng banget lihat adeknya lahap makan https://t.co/guADmkjlxQ
Thu Feb 27 08:13:52 +0000 2025,,Makan siang Bergizi Gratis. Mimin seneng banget lihat adeknya lahap makan makansianggratis https://t.co/AGw9DAfeQb
Thu Feb 27 07:41:28 +0000 2025,,Makan siang Bergizi Gratis. Mimin seneng banget lihat adeknya lahap makan . . https://t.co/DkLVAcjMVR
Thu Feb 27 06:49:41 +0000 2025,,Kodim 0833/Kota Malang melalui jajarannya Babinsa Koramil 0833/01 Klojen melaksanakan pendampingan pendistribusian makan siang bergizi gratis yang diselenggarakan oleh Satuan Pelayanan Pemenuhan Gizi (SPPG) di wilayah binaannya. https://t.co/buACZuCXq3
Thu Feb 27 05:54:45 +0000 2025,,@ARSIPAJA Akalnya dimana ya? Orang yang berpuasa kok dipaksa menerima makan siang? Makan Bergizi Gratis itu ya untuk makan siang disekolah boss!! Bukan untuk waktu lain.. Masa disuruh bawa pulang nanti banyak yang basi atau tidak dimakan malah jadi mubazir! #IndonesiaGelap
Thu Feb 27 05:31:46 +0000 2025,,@M4YUUU3 Makan siang bergizi gratis
Thu Feb 27 05:24:58 +0000 2025,,penutupan sebelum libur satu bulan gak pamer makan siang. ini lah makan siang bergizi tapi gak gratis. https://t.co/YoHp7Rwc4c
Thu Feb 27 05:12:21 +0000 2025,,siang ini dpt makan bergizi gratis (mbg) disponsori oleh kakak https://t.co/UE0vNNbHHl
Thu Feb 27 04:43:03 +0000 2025,,Polwan Polres Gianyar melakukan koordinasi dengan Kepala Sekolah SDN 1 Manukaya Tampaksiring Kabupaten Gianyar dalam rangka pendataan siswa yang akan menerima màkan siang bergizi gratis sesuai program asta cita bapak Presiden Republik Indonesia. #beyondtrustpresisi #polresgianyar https://t.co/2YZ6qwoAfh
Thu Feb 27 03:57:15 +0000 2025,,@fourleafcy Makan siang gratis bergizi aja
Thu Feb 27 02:32:58 +0000 2025,,@rizalakbarm_ @IndoPopBase @BNN @prabowo Ampun pak jangan kasih saya makan siang tidak bergizi gratis pak mending minta maaf aja rakyat juga lebih rispek pak @prabowo klo punya malu
Wed Feb 26 16:50:57 +0000 2025,,#PAPUA BUTUH: PENDIDIKAN GRATIS PENDIDIKAN BERGIZI MAKAN SIANG GRATIS https://t.co/kYtgrisC95
Wed Feb 26 16:34:38 +0000 2025,,Hai Sobwas Terdepan! Dalam upaya memastikan keberlanjutan dan kualitas Program Makan Siang Bergizi Gratis (MBG) Kepala Perwakilan BPKP Provinsi NTB Mudzakir didampingi oleh Korwas Bidang IPP beserta tim turun langsung ke lapangan untuk melakukan pemantauan. Kegiatan ini https://t.co/8jsHG28c8D
Wed Feb 26 13:22:51 +0000 2025,,@krsjgla @ernestprakasa Tolong lepas mereka di TSI saat di kandang singa/maca.mayan makan siang bergizi gratis
Wed Feb 26 11:27:17 +0000 2025,,Akan ada Makan Siang Bergizi Gratis bagi anak sekolah. Anak Punk kalau statusnya bersekolah juga akan tetap dapat makan Siang Gratis.
